Title,Sticker,Section,Description,Coordinates,Section,Address,Link,Date,Location,Display,Media
das-Nano,🏢,Tecnología y electrónica,"Desarrolla tecnología propia de terahercios para la inspección no destructiva de espesores y recubrimientos en automoción, aeroespacial y materiales avanzados; exporta a la industria global desde Tajonar.","42.7785, -1.6020",Tecnología y electrónica,,,,"42.7785,-1.602",,
Nabrawind,🏢,Energía y eficiencia energética,"Diseña torres eólicas autoizables y uniones de palas modulares que permiten aerogeneradores de más de 200 metros sin grandes grúas; instala sus tecnologías en proyectos de todo el mundo desde Pamplona.","42.8120, -1.6435",Energía y eficiencia energética,,,,"42.812,-1.6435",,
3PBIOVIAN,🏢,Farma y biotecnología,"CDMO de medicamentos biológicos que desarrolla y fabrica proteínas recombinantes, terapias avanzadas y vectores virales bajo contrato para biotech y farma de Europa, EE. UU. y Asia desde Noáin.","42.7720, -1.6330",Farma y biotecnología,,,,"42.772,-1.633",,
Congelados de Navarra,🏢,Alimentación e industria agroalimentaria,"Productor de verduras ultracongeladas, líder en brócoli y vegetales asados y prefritos y entre los diez mayores de Europa; exporta a retail e industria desde Arguedas.","42.1820, -1.5930",Alimentación e industria agroalimentaria,,,,"42.182,-1.593",,
Exkal,🏢,Industria y bienes de equipo,"Fabricante de muebles de refrigeración comercial para supermercados y retail con fábricas en España, China y Chile; suministra a las grandes cadenas europeas desde Marcilla.","42.3120, -1.7530",Industria y bienes de equipo,,,,"42.312,-1.753",,
Martiko,🏢,Alimentación e industria agroalimentaria,"Empresa familiar de alimentación gourmet especializada en derivados de pato (foie gras, confit) y pescados ahumados; presente en más de 36 países desde Bera.","43.2730, -1.6840",Alimentación e industria agroalimentaria,,,,"43.273,-1.684",,
Comansa,🏢,Industria y bienes de equipo,"Fabricante de grúas torre tipo Flat-Top y de pluma abatible para construcción, infraestructuras y energía, con red de distribuidores en más de 70 países desde Huarte.","42.8290, -1.5760",Industria y bienes de equipo,,,,"42.829,-1.576",,
Lizarte,🏢,Automoción y componentes,"Especialista en remanufactura de sistemas de dirección, bombas de asistencia y componentes de automoción para el aftermarket europeo desde el Polígono Los Agustinos de Pamplona.","42.8350, -1.6540",Automoción y componentes,,,,"42.835,-1.654",,
Florette Ibérica,🏢,Alimentación e industria agroalimentaria,"Líder nacional en ensaladas y vegetales frescos de IV gama, lavados, cortados y listos para consumir; cultiva, envasa y distribuye desde Milagro.","42.2360, -1.7700",Alimentación e industria agroalimentaria,,,,"42.236,-1.77",,
Azkoyen,🏢,Tecnología y electrónica,"Multinacional que diseña y fabrica máquinas expendedoras, sistemas de medios de pago y control de accesos, con presencia en más de 50 países desde Peralta.","42.3380, -1.8010",Tecnología y electrónica,,,,"42.338,-1.801",,
Cinfa,🏢,Farma y biotecnología,"Mayor laboratorio farmacéutico de capital navarro, especializado en medicamentos genéricos y productos de salud, con plantas que exportan a numerosos mercados desde Olloki.","42.8383, -1.5865",Farma y biotecnología,,,,"42.8383,-1.5865",,
Jofemar,🏢,Tecnología y electrónica,"Fabricante de máquinas vending, sistemas de medios de pago y soluciones de almacenamiento de energía con desarrollo y producción propios desde Peralta.","42.3320, -1.7900",Tecnología y electrónica,,,,"42.332,-1.79",,
Mecacontrol,🏢,Automoción y componentes,"Grupo de mecanizado, moldes, inyección de plástico y fundición de aluminio a presión para automoción y línea blanca, con plantas en España y Polonia desde Cascante.","42.0050, -1.6730",Automoción y componentes,,,,"42.005,-1.673",,
Grupo IAN,🏢,Alimentación e industria agroalimentaria,"Referente nacional en conservas vegetales y platos preparados con su marca Carretilla, líder en espárragos; exporta cerca del 43 % de su producción desde Villafranca.","42.2820, -1.7540",Alimentación e industria agroalimentaria,,,,"42.282,-1.754",,
Lacunza,🏢,Energía y eficiencia energética,"Fabricante de estufas, cocinas y chimeneas de leña de alta eficiencia con diseño y tecnología propios; referente europeo que exporta a más de 30 países desde Altsasu.","42.8920, -2.1730",Energía y eficiencia energética,,,,"42.892,-2.173",,
Industrias Laneko,🏢,Industria y bienes de equipo,"Fabricante de tornillería industrial especial estampada en caliente para eólica, ferrocarril, minería y grandes estructuras; exporta a una quincena de países desde Uharte-Arakil.","42.9070, -2.0530",Industria y bienes de equipo,,,,"42.907,-2.053",,
Dynamobel,🏢,Industria y bienes de equipo,"Fabricante de mobiliario, sillería y particiones para oficinas y espacios de trabajo con diseño e I+D propios; comercializa en España y Europa desde Peralta.","42.3450, -1.7850",Industria y bienes de equipo,,,,"42.345,-1.785",,
Terresis - Magnesitas Navarras,🏢,Minería y materiales,"Productor verticalmente integrado de soluciones de óxido de magnesio para la siderurgia, la agricultura y el medioambiente; explota su mina y exporta a más de 60 países desde Zubiri.","42.9320, -1.5050",Minería y materiales,,,,"42.932,-1.505",,
Grupo Enhol,🏢,Energía y eficiencia energética,"Grupo familiar diversificado cuya actividad principal es la promoción, construcción y gestión de proyectos de energía renovable (eólica, solar y biomasa) a escala internacional desde Tudela.","42.0700, -1.6070",Energía y eficiencia energética,,,,"42.07,-1.607",,
Sumelec,🏢,Energía y eficiencia energética,"Distribuidor industrial de soluciones eléctricas y de automatización, líder en luminarias LED para el sector eólico, con suministro a OEMs en los cinco continentes desde Noáin.","42.7760, -1.6090",Energía y eficiencia energética,,,,"42.776,-1.609",,
