Tanda,Empresa,Zona/Sede,Empleados,Sector,Tier,Por qué encaja,Señales,Fuentes
1,CMZ,Zaldibar (Bizkaia),253,Tornos CNC (máquina-herramienta),A,"Fabricante de tornos CNC, exportador, venta directa con filiales propias y universo amplio de compradores. En plena expansión internacional activa.",Crea CMZ USA en 2025 (1ª filial fuera de Europa) | Compra terreno en Coventry (UK) para nueva filial y crece en Francia (2026) | 8ª planta en Berriz (22.000 m²) para llegar a 1.000 máquinas/año,https://www.cmz.com/en/about-us/ | https://www.cmz.com/en/dream-to-build/
1,ULMA Packaging,Oñati (Gipuzkoa),894,Maquinaria de envasado,A,"Bien de equipo para envasado, compradores muy amplios (alimentación, médico, FMCG) en todo el mundo, venta directa con filiales. Expansión por M&A y nuevas filiales.",Abre filial propia en Dubái (Oriente Medio) y en Tailandia/Colombia | Adquiere PackDesign AB (Suecia) en dic-2024 | Nueva planta de automatización (2025),https://www.ulmapackaging.com/en/news/aggregator | https://techpress.es/actualidad/maquinaria-y-equipos/ulma-packaging-abre-nueva-filial-dubai-estara-gulfood-manufacturing-AN16934150
1,Mondragon Assembly,Aretxabaleta (Gipuzkoa),266,Automatización / líneas de ensamblaje,A,"Líneas de automatización llave en mano (solar, batería, médico) a fabricantes de todo el mundo. Venta directa por proyecto, ticket alto, ciclo largo. Fuerte actividad de M&A.",Adquiere el 60% de la china QHD (2025) y absorbe el negocio solar de Gorosabel | Nueva línea PV para Brite Solar en Grecia; adquisición de ATP Engineering & Packaging | Nueva línea automática PV de +150 MW,https://www.mondragon-assembly.com/category/news/ | https://www.tulankide.com/en/mondragon-assembly-acquires-60-of-the-capital-of-the-asian-company-qhd-visual-automationequipment
1,DANOBAT,Elgoibar (Gipuzkoa),397,Máquina-herramienta y ferroviario,A,"Marca operativa del grupo Danobat: torneado, rectificado, ferroviario y fabricación aditiva. 90% exportación, red comercial propia, compradores amplios.",Adquiere la estadounidense Delta Wheel Truing Solutions (2025) para reforzar el mercado ferroviario en EE.UU. | Nuevos pedidos ferroviarios en Luxemburgo y Sídney | Grupo en récord de €344M (2024),https://www.danobat.com/en/news/danobat-strengthens-its-position-us-rail-market-strategic-acquisition-delta-wheel-truing | https://www.danobatgroup.com/en/press-releases/danobatgroup-sets-a-new-turnover-record-of-344-m-in-2024
1,Fagor Automation,Eskoriatza (Gipuzkoa),318,CNC y sistemas de feedback,A,"Cliente de referencia del ICP. CNC y encoders a fabricantes de máquina y usuarios finales en todo el mundo; venta directa, ticket alto, ciclo largo.","Plan Estratégico 2025-2028: diversificación y objetivo >€100M en 2028 | Abre nuevos mercados en Japón, Corea y Taiwán; foco en China y EE.UU. | Inversiones en Eskoriatza 2024-2025 y nuevo Smart Encoder System",https://www.fagor.eus/es/fagor-automation-se-abre-a-nuevos-horizontes/ | https://www.fagorautomation.com/en/news
1,GHI Smart Furnaces,Galdakao (Bizkaia),159,Hornos y plantas (reciclaje aluminio),A,"Hornos y plantas llave en mano para reciclaje de aluminio; 97% exportación, venta directa con oficinas propias y compradores amplios. Momento de crecimiento muy fuerte.","Abre oficinas propias en EE.UU., México y Brasil; primeras plantas entregadas en EE.UU. (Illinois y Texas) en 2025 | ~€54M (2024) → rozar €60M en 2025, facturación triplicada 2016-2024 | Blueprint Estratégico 2025-2027 y entrada en Brasil (Metalurgia 2025)",https://www.ghifurnaces.com/our-purpose/ | https://www.empresaxxi.com/post/sus-soluciones-integrales-para-el-reciclaje-de-aluminio-disparan-su-facturacion-que-este-ano-rozara-los-60-millones-de-euros-y-procede-en-un-97-del-exterior
1,Koxka,Pamplona (Navarra),151,Refrigeración comercial,A,"Refrigeración comercial llave en mano, capital español, exporta con filiales propias (México, Oriente Medio) a multitud de retailers. Momento de expansión inmejorable.","Sherpa Capital compra el 86% (nov-2025) con objetivo de DUPLICAR tamaño en 3-4 años (>€100M antes de 2028) | Plan de +200 empleos 2025-2026 y +20% previsto en 2026 | Nueva delegación Koxka Sur (Cádiz) y €2,5M en la planta de Landaben",https://koxka.com/en/business-units/ | https://www.noticiasdenavarra.com/economia/2025/11/06/sherpa-capital-compra-86-navarra-koxka-10310165.html
1,OJMAR,Elgoibar (Gipuzkoa),66,Sistemas de cierre inteligentes,A,"Cliente de referencia del ICP. Cerraduras inteligentes para taquillas/retail; 73-75% exportación, red comercial propia, compradores muy amplios.",Abre oficina comercial propia en Benelux (sept-2024) y planifica Oriente Medio (2025) | €22M en 2024 (+10%); objetivo de pasar EE.UU. del 20% al 30% de ventas | Nuevo producto OTS Batteryless (cerradura sin pilas) premiado internacionalmente,https://www.spri.eus/es/teics-comunicacion/exito-ojmar-lider-mundial-sistemas-inteligentes-cerraduras-taquillas/ | https://ojmar.com/en/company/story/
1,IBARMIA,Azkoitia (Gipuzkoa),118,Centros de mecanizado CNC,A,"Centros de mecanizado de alto valor; exporta 85-95% con personal comercial propio por país (""Ibarmia Extended""). Ticket alto, ciclo largo, compradores amplios.",Consolida su hub productivo en Qingdao (China) como base para Asia (2024-2025) | Joint venture con la sueca Modig Machine Tool y nuevas líneas de producto | Entrada estratégica en aeronáutica y apertura del mercado mexicano,https://www.spri.eus/es/internacionalizacion-comunicacion/ibarmia-planea-crecer-implantacion-china-abrirse-mercado-mexicano/ | https://www.ibarmia.com/en/ibarmia/
1,GH Cranes & Components,Beasain (Gipuzkoa),425,Grúas y sistemas de elevación,A,"Grúas industriales a plantas de todo el mundo (70+ países); venta directa con filiales en 15 países y 10 plantas. Compradores amplios, ticket alto.","Crea GH Saudi (nueva filial en Oriente Medio, 2025) | Refuerza su posición en EE.UU. con respaldo de COFIDES | Presente en CeMAT Shanghái 2025",https://www.cofides.es/en/noticias/notas-de-prensa/gh-cranes-components-strengthens-its-foothold-us-market-backing-cofides | https://www.ghcranes.com/en/
